device_id,device_type,flow_duration_mean,packet_rate,byte_volume,port_entropy,unique_dest_ips,tcp_ratio,udp_ratio,iat_mean,iat_std
cam-001,camera,1.230206,48.963633,79334.471467,2.10446,9.71,0.650602,0.373531,0.090695,0.030844
cam-001,camera,1.14671,48.074484,78135.098093,1.9529,7.1,0.668993,0.332696,0.096356,0.029179
cam-001,camera,1.324136,52.98329,86243.989946,2.377938,9.52,0.589329,0.407433,0.085157,0.033169
cam-002,camera,1.249028,54.309202,83717.800349,2.271094,10.69,0.632174,0.388387,0.088351,0.032104
cam-002,camera,1.182927,47.73707,77261.136548,1.969097,7.61,0.642749,0.303674,0.099724,0.02716
cam-003,camera,1.318516,56.123455,88090.648997,2.50019,10.59,0.592211,0.37257,0.08184,0.036943
cam-003,camera,1.10977,45.495963,70981.228971,1.905846,5.99,0.682767,0.329371,0.107899,0.027114
cam-004,camera,1.273957,53.886155,83296.925965,2.154397,7.6,0.628927,0.336064,0.089422,0.031886
sensor-07,sensor,0.460162,3.164418,1271.751163,0.109311,2.24,0.887531,0.085893,0.301348,0.005123
sensor-07,sensor,0.483025,3.618271,1720.100547,0.129215,0.16,0.899852,0.120572,0.284833,0.005094
sensor-12,sensor,0.546884,4.332881,1994.348533,0.159253,0.69,0.832897,0.179767,0.273477,0.007942
sensor-12,sensor,0.541473,3.785687,1844.102823,0.141526,1.11,0.84601,0.138458,0.274451,0.00587
sensor-18,sensor,0.598334,5.033422,2443.897312,0.207019,2.0,0.790719,0.204758,0.259647,0.007597
sensor-18,sensor,0.504168,3.42223,1547.089163,0.12189,1.12,0.896718,0.111821,0.28034,0.005648
sensor-21,sensor,0.611836,5.333879,2577.262748,0.234577,1.42,0.763476,0.222681,0.254651,0.008171
sensor-21,sensor,0.469605,3.019874,1432.046943,0.101595,0.0,0.898517,0.092988,0.307602,0.005745
router-02,router,0.816218,28.891612,43221.666841,1.804557,4.1,0.698703,0.309709,0.15034,0.018876
router-02,router,0.780823,27.265561,40794.826732,1.683485,5.26,0.713807,0.243213,0.150036,0.018262
router-05,router,0.875525,34.929489,53081.199324,1.929018,6.21,0.680139,0.302854,0.132022,0.023871
router-05,router,0.923922,35.940969,55349.339344,2.108191,7.07,0.625816,0.335863,0.130399,0.023934
router-08,router,0.87182,33.646382,52255.154566,1.893256,6.71,0.670358,0.3317,0.136904,0.02138
router-08,router,0.95704,38.817203,59044.888487,2.117725,9.27,0.636588,0.371681,0.12638,0.025101
router-11,router,0.865164,31.829044,48240.318264,1.907583,7.05,0.669979,0.299138,0.140544,0.020802
router-11,router,0.963783,40.305179,64330.199349,2.208443,9.85,0.617301,0.36538,0.125348,0.027991
nvr-01,nvr,0.963212,18.843744,35371.87568,1.214997,4.41,0.794751,0.202532,0.200946,0.012114
nvr-01,nvr,1.025152,19.803386,38436.582604,1.263485,4.38,0.754807,0.191149,0.191083,0.01435
nvr-02,nvr,1.092365,22.573163,45521.598784,1.368834,4.28,0.747163,0.245153,0.177889,0.016046
nvr-02,nvr,1.200516,24.458163,49240.545006,1.446952,3.69,0.730301,0.258,0.168125,0.017504
nvr-03,nvr,1.02307,20.348941,40382.663918,1.348993,1.72,0.752789,0.205912,0.190835,0.014762
nvr-03,nvr,0.951163,17.462221,33478.107204,1.193429,3.61,0.816701,0.209234,0.207903,0.011016
nvr-04,nvr,1.222831,25.884623,50631.53861,1.601084,3.9,0.676926,0.266422,0.165527,0.017545
nvr-04,nvr,1.086793,21.882025,40830.712416,1.370954,3.29,0.749312,0.26432,0.184759,0.014185
access-ctrl-01,access_controller,0.597249,8.287447,9430.467846,0.548784,2.41,0.835717,0.154474,0.251778,0.007855
access-ctrl-01,access_controller,0.611466,8.67318,10577.679206,0.594057,2.14,0.860076,0.154951,0.238848,0.008255
access-ctrl-02,access_controller,0.662292,9.727419,11521.126269,0.643635,4.2,0.802605,0.154972,0.231352,0.01056
access-ctrl-02,access_controller,0.716134,10.142703,12802.016468,0.685491,4.29,0.821876,0.218572,0.232251,0.011763
access-ctrl-03,access_controller,0.563463,8.21497,9384.547094,0.533441,2.91,0.881844,0.148645,0.24946,0.008575
access-ctrl-03,access_controller,0.70307,10.938931,13524.866479,0.727676,3.95,0.787618,0.188311,0.226952,0.011455
access-ctrl-04,access_controller,0.60228,8.539814,10005.8237,0.582461,3.4,0.826747,0.158489,0.245513,0.009962
access-ctrl-04,access_controller,0.661434,9.545094,10824.279197,0.627217,2.04,0.847752,0.155928,0.233384,0.009869
thermostat-04,thermostat,0.709599,5.932924,4277.083258,0.330226,1.66,0.744595,0.235283,0.225794,0.013003
thermostat-04,thermostat,0.758896,6.514996,4620.036048,0.365226,2.51,0.711853,0.244198,0.218129,0.01466
thermostat-09,thermostat,0.771291,7.044078,4954.475901,0.385328,2.43,0.694504,0.284144,0.207425,0.015255
thermostat-09,thermostat,0.716563,6.261173,4416.492765,0.348217,2.35,0.718057,0.262876,0.213405,0.013574
thermostat-13,thermostat,0.796635,7.335033,5167.525568,0.419118,2.83,0.662822,0.308391,0.210959,0.017592
thermostat-13,thermostat,0.676325,5.655509,4093.791923,0.322552,1.51,0.759105,0.265068,0.228343,0.012449
thermostat-16,thermostat,0.74628,6.508819,4647.739408,0.379433,4.05,0.68437,0.274866,0.214658,0.015389
thermostat-16,thermostat,0.688011,5.598111,3918.863484,0.312903,0.52,0.765058,0.256203,0.223595,0.01285
plug-11,smart_plug,0.382416,2.671443,981.055916,0.077841,0.25,0.5409,0.467388,0.350221,0.010335
plug-11,smart_plug,0.422002,2.916609,1150.242662,0.092114,1.34,0.513156,0.490287,0.343684,0.011096
plug-14,smart_plug,0.460725,3.449706,1308.009411,0.108411,0.24,0.48826,0.525949,0.326417,0.012253
plug-14,smart_plug,0.463644,3.606201,1470.844097,0.128219,1.46,0.472409,0.498302,0.312872,0.013388
plug-19,smart_plug,0.374583,2.239864,865.176687,0.070179,0.75,0.51241,0.455209,0.364647,0.009168
plug-19,smart_plug,0.435044,3.166352,1229.282166,0.099282,0.0,0.481106,0.515209,0.338019,0.012907
plug-22,smart_plug,0.457765,3.551978,1363.764396,0.120743,1.16,0.463165,0.50615,0.313873,0.012672
plug-22,smart_plug,0.404299,2.783925,1028.897818,0.089824,0.0,0.517335,0.451618,0.336844,0.011129
cam-001,camera,1.175668,50.125679,78133.980502,2.105151,7.65,0.632746,0.3327,0.093023,0.031522
cam-002,camera,1.240934,52.583247,83979.838738,2.1673,7.75,0.601163,0.362365,0.0927,0.0317
cam-003,camera,1.331891,57.04663,88246.256676,2.426457,11.35,0.591962,0.351223,0.083227,0.034215
cam-004,camera,1.161693,46.979627,72954.208915,1.963218,7.8,0.660067,0.316435,0.103517,0.027229
cam-005,camera,1.314714,55.505695,82015.052839,2.234544,9.44,0.630641,0.39749,0.087454,0.03343
cam-005,camera,1.06227,45.110084,72126.480641,1.786289,6.82,0.721018,0.296025,0.106522,0.027968
sensor-07,sensor,0.467801,3.269746,1314.327539,0.109146,1.02,0.880474,0.120975,0.309879,0.004211
sensor-12,sensor,0.55493,4.03254,1896.683736,0.151866,1.81,0.864028,0.167928,0.273179,0.007616
sensor-18,sensor,0.591351,4.695346,2281.147935,0.192634,1.31,0.841103,0.189844,0.250626,0.008763
sensor-21,sensor,0.472623,3.193224,1469.665057,0.109201,0.0,0.911057,0.08091,0.301697,0.005596
sensor-24,sensor,0.614061,5.216378,2489.694722,0.217047,0.53,0.826884,0.165137,0.252288,0.008977
sensor-24,sensor,0.5179,3.641172,1674.531929,0.129928,1.88,0.845583,0.103296,0.289291,0.005612
router-02,router,0.834061,29.951869,44001.485473,1.791954,5.74,0.699847,0.292171,0.144979,0.018503
router-05,router,0.879515,34.256272,51506.803825,2.004304,7.79,0.651109,0.302983,0.133873,0.023449
router-08,router,0.905165,35.85292,53287.045999,1.991104,6.08,0.643649,0.310766,0.129123,0.024068
router-11,router,0.956865,40.932616,61335.742034,2.226059,6.88,0.652108,0.359453,0.126773,0.026148
router-14,router,0.848439,31.985343,46924.186861,1.829395,7.32,0.688664,0.319327,0.141154,0.020148
router-14,router,1.017844,40.096522,62143.86376,2.278559,8.41,0.639635,0.357107,0.121904,0.028213
nvr-01,nvr,0.997096,18.588929,36689.623461,1.236318,2.83,0.81161,0.229402,0.1947,0.013242
nvr-02,nvr,1.107236,23.027002,45068.684034,1.355805,3.13,0.759626,0.219423,0.174516,0.01515
nvr-03,nvr,1.02837,20.837932,40406.160029,1.313342,2.19,0.782417,0.232179,0.183493,0.014375
nvr-04,nvr,1.210013,25.83865,49599.396342,1.524603,5.3,0.715508,0.272674,0.169488,0.017817
nvr-05,nvr,1.243909,26.208255,50722.489814,1.581531,5.75,0.694152,0.287317,0.158349,0.019377
nvr-05,nvr,1.052463,20.633868,38741.097528,1.28952,1.74,0.752392,0.205922,0.185996,0.013501
access-ctrl-01,access_controller,0.595043,8.838346,10119.962567,0.552482,3.35,0.879974,0.150337,0.245556,0.00708
access-ctrl-02,access_controller,0.690456,9.682831,11745.814227,0.666227,2.04,0.81512,0.188087,0.234883,0.009182
access-ctrl-03,access_controller,0.584618,8.117988,9708.098982,0.541376,1.49,0.87162,0.117293,0.258731,0.008627
access-ctrl-04,access_controller,0.712134,10.371811,12776.2137,0.712365,4.41,0.794251,0.190876,0.232619,0.011315
access-ctrl-05,access_controller,0.641636,8.953154,10469.990343,0.585107,2.77,0.837525,0.175599,0.238678,0.009098
access-ctrl-05,access_controller,0.748732,10.859528,13670.701474,0.742737,4.42,0.786532,0.194358,0.21647,0.012102
thermostat-04,thermostat,0.712226,5.951115,4437.297696,0.348424,1.88,0.717048,0.269929,0.220978,0.014433
thermostat-09,thermostat,0.77041,6.707557,4916.802165,0.401238,2.23,0.703076,0.283015,0.216341,0.016016
thermostat-13,thermostat,0.80798,7.35726,4992.068711,0.417134,2.74,0.716055,0.300464,0.210981,0.016566
thermostat-16,thermostat,0.661902,5.528689,4037.341829,0.299814,0.95,0.752315,0.230707,0.23172,0.013087
thermostat-20,thermostat,0.817803,7.51873,5210.804646,0.445214,3.22,0.654014,0.336533,0.197442,0.018489
thermostat-20,thermostat,0.70862,6.010239,4151.428551,0.333241,2.96,0.768849,0.24972,0.217778,0.014005
plug-11,smart_plug,0.382056,2.555455,961.104337,0.079713,1.08,0.517416,0.483347,0.34612,0.01031
plug-14,smart_plug,0.45046,3.59341,1459.976149,0.118838,2.58,0.48899,0.531106,0.327786,0.013719
plug-19,smart_plug,0.416976,2.966999,1175.222733,0.101556,2.12,0.472154,0.464105,0.335621,0.011842
plug-22,smart_plug,0.422237,2.942937,1085.681734,0.087832,1.4,0.532355,0.476621,0.340923,0.011807
plug-25,smart_plug,0.457197,3.867521,1501.155141,0.129024,0.94,0.46187,0.533956,0.321546,0.01234
plug-25,smart_plug,0.350906,2.248951,846.033403,0.068911,2.24,0.518587,0.447669,0.353701,0.008511
cam-005,camera,1.281144,57.227223,91316.550658,1.778756,8.97,0.626504,0.340734,0.082431,0.030278
sensor-27,sensor,0.517638,3.447521,1442.274867,0.157112,2.65,0.848992,0.134232,0.28623,0.01115
router-08,router,1.019266,29.828958,45913.954447,1.958418,5.32,0.673956,0.311148,0.156261,0.025098
nvr-04,nvr,1.086895,17.096642,40993.530432,1.549859,3.9,0.726424,0.251139,0.208697,0.018242
access-ctrl-02,access_controller,0.707466,10.639185,11239.330085,0.673398,4.38,0.884204,0.12878,0.235272,0.012882
thermostat-13,thermostat,0.763629,6.894803,4392.262235,0.434591,2.74,0.650538,0.30793,0.207489,0.014943
plug-11,smart_plug,0.360666,3.689313,897.448954,0.098542,2.97,0.518911,0.488389,0.332852,0.011677
cam-004,camera,1.045294,62.591412,72003.798524,2.436336,13.08,0.683453,0.338797,0.086355,0.039713
sensor-18,sensor,0.644765,2.848835,1671.778075,0.230505,1.86,0.86037,0.14034,0.293481,0.006645
router-08,router,0.954568,33.689276,43709.598104,2.127588,8.15,0.663684,0.344915,0.149459,0.016126
nvr-01,nvr,0.999043,25.716538,35992.686626,1.372407,4.92,0.766776,0.238262,0.163927,0.016194
access-ctrl-03,access_controller,0.757194,8.705445,12506.118781,0.525319,2.73,0.846758,0.155148,0.234358,0.008309
thermostat-20,thermostat,0.785966,6.636401,4419.173556,0.298346,5.35,0.661963,0.292232,0.226229,0.013901
plug-19,smart_plug,0.357464,3.708653,853.402849,0.12032,3.43,0.52152,0.463888,0.308156,0.009244
cam-001,camera,1.143388,55.648394,78125.605036,1.936324,7.29,0.581281,0.397208,0.098461,0.032252
sensor-12,sensor,0.64248,2.824938,2343.703084,0.225959,1.15,0.902182,0.099714,0.299529,0.010801
router-14,router,0.989574,35.0376,67428.204067,2.258717,7.25,0.71047,0.269663,0.13796,0.01903
nvr-01,nvr,1.108965,24.311615,47320.301636,1.421659,2.66,0.724503,0.291565,0.177579,0.018952
access-ctrl-02,access_controller,0.742177,10.808578,11342.54974,0.530122,4.34,0.782602,0.186994,0.241196,0.010043
thermostat-04,thermostat,0.668313,6.167049,3774.839206,0.429458,2.7,0.711166,0.289416,0.22131,0.017147
plug-11,smart_plug,0.389939,3.623392,1269.045037,0.07892,1.4,0.512901,0.469511,0.356268,0.013061
cam-004,camera,1.11689,45.083387,70163.048278,2.712446,14.06,0.609055,0.406138,0.102338,0.036367
sensor-24,sensor,0.458663,5.016919,1494.416869,0.109693,0.75,0.845705,0.125606,0.246417,0.009749
router-14,router,0.910617,43.16846,60229.995315,2.039813,4.78,0.665794,0.324328,0.124282,0.021113
nvr-06,nvr,1.17607,25.895336,44205.498929,1.241214,2.56,0.81992,0.195017,0.183975,0.012442
access-ctrl-05,access_controller,0.616862,11.468681,13797.085993,0.542525,1.14,0.829404,0.143455,0.212875,0.007691
thermostat-13,thermostat,0.843246,7.008719,4275.926623,0.325899,4.04,0.708473,0.329106,0.204383,0.017285
plug-14,smart_plug,0.369199,2.666937,797.4583,0.088744,0.04,0.472162,0.508539,0.339704,0.008012
cam-005,camera,1.195964,57.929604,94877.81575,1.722182,10.4,0.581839,0.384767,0.099274,0.02884
sensor-07,sensor,0.495227,4.762575,2504.867114,0.243986,2.2,0.795097,0.133157,0.26445,0.004236
router-11,router,0.788142,28.702092,66329.27488,1.8584,5.83,0.65639,0.335297,0.119173,0.02786
nvr-06,nvr,1.184394,27.59236,54385.346048,1.151432,1.64,0.683716,0.305959,0.178565,0.019603
access-ctrl-01,access_controller,0.658392,8.217166,12801.422564,0.712575,1.52,0.784821,0.200542,0.246217,0.012407
thermostat-09,thermostat,0.810013,7.446009,4738.484968,0.321527,5.09,0.692538,0.231124,0.236837,0.017724
plug-19,smart_plug,0.431955,2.41057,1092.562963,0.139309,0.0,0.461251,0.479486,0.359382,0.012236
cam-003,camera,1.274902,48.593825,95064.227035,2.572086,10.23,0.605332,0.371438,0.113287,0.027621
sensor-24,sensor,0.604126,3.959936,2253.222226,0.180113,0.84,0.830597,0.184355,0.252695,0.005455
router-08,router,0.866266,36.171029,67776.273433,2.06524,9.09,0.656144,0.355613,0.155437,0.026354
nvr-01,nvr,1.158663,23.59167,51661.848549,1.59448,4.85,0.835449,0.19387,0.194567,0.011249
access-ctrl-04,access_controller,0.582457,9.572514,12289.129038,0.477308,1.83,0.828169,0.11648,0.25113,0.010015
thermostat-24,thermostat,0.840331,6.481246,3834.275395,0.326369,0.73,0.701855,0.321318,0.236622,0.015014
plug-11,smart_plug,0.478926,3.009777,1496.755839,0.12285,1.85,0.498589,0.50911,0.332402,0.009951
cam-006,camera,1.194443,58.617488,85771.772916,2.846574,9.53,0.672859,0.320273,0.1098,0.025495
sensor-21,sensor,0.438357,4.483644,2023.758427,0.244881,1.62,0.836974,0.144526,0.311945,0.009196
router-02,router,1.037701,34.603154,41492.418609,2.156231,6.54,0.647049,0.323424,0.138287,0.030813
nvr-06,nvr,1.063293,25.641045,34215.016971,1.673211,5.55,0.788062,0.231909,0.196716,0.01219
access-ctrl-01,access_controller,0.656819,9.589177,11919.149906,0.6919,4.94,0.780207,0.239738,0.240395,0.010371
thermostat-13,thermostat,0.84133,8.070092,4594.786627,0.337181,2.59,0.700816,0.232852,0.239258,0.013973
plug-11,smart_plug,0.334421,3.717365,1615.936383,0.102067,0.0,0.506252,0.530107,0.342712,0.009075
cam-003,camera,1.118933,50.087738,78022.706318,2.769363,5.99,0.669881,0.356266,0.094724,0.033318
sensor-24,sensor,0.518055,2.983955,2223.279906,0.127953,0.83,0.797096,0.174912,0.316029,0.009068
router-14,router,0.810626,41.351808,49706.420487,1.774986,9.6,0.646828,0.399066,0.132694,0.015564
nvr-06,nvr,0.963125,21.234929,52538.829943,1.5489,4.9,0.728304,0.205,0.165389,0.011748
access-ctrl-06,access_controller,0.732389,11.030556,9732.884972,0.653485,3.36,0.835787,0.146367,0.235593,0.010295
thermostat-13,thermostat,0.836849,6.674101,3841.84015,0.388856,1.55,0.7116,0.223195,0.233028,0.013472
plug-29,smart_plug,0.453055,2.183488,1364.254519,0.153877,3.02,0.488998,0.517483,0.337498,0.011574
cam-004,camera,1.274732,52.409392,77245.809274,2.571324,7.85,0.560315,0.384754,0.094594,0.02667
sensor-18,sensor,0.531552,5.676351,1689.811032,0.205101,2.36,0.888069,0.042865,0.321446,0.004588
router-02,router,0.847813,41.605353,41141.36348,2.293234,4.55,0.630923,0.334516,0.150707,0.016858
nvr-01,nvr,1.218335,20.476224,48358.701096,1.605681,1.76,0.748479,0.224061,0.167261,0.013015
access-ctrl-04,access_controller,0.710217,9.932166,12368.168938,0.489122,4.41,0.858862,0.155219,0.235947,0.010577
thermostat-04,thermostat,0.703389,6.388052,5395.201267,0.477656,4.71,0.749951,0.19266,0.226624,0.013627
plug-14,smart_plug,0.421617,3.253595,1619.554978,0.141641,2.4,0.49869,0.483786,0.3558,0.013915
cam-004,camera,1.115995,58.26044,76229.208623,2.635514,11.3,0.700923,0.319347,0.099256,0.031507
sensor-18,sensor,0.517751,3.729572,2453.760665,0.254213,4.1,0.899915,0.047469,0.303577,0.007779
router-02,router,0.994306,40.230555,63304.497854,1.871731,4.99,0.699851,0.295459,0.123142,0.020602
