timestamp,device_id,device_type,flow_duration_mean,packet_rate,byte_volume,port_entropy,unique_dest_ips,tcp_ratio,udp_ratio,iat_mean,iat_std,source_device,target_device
2026-03-01T01:08:00Z,cam-001,camera,1.2453,55.8561,89653.92,2.0845,10,0.6226,0.3774,0.0773,0.0344,cam-001,router-01
2026-03-04T09:59:00Z,plc-09,plc,0.7502,11.9507,16389.31,0.8239,4,0.9267,0.0733,0.2391,0.0121,plc-09,cam-001
2026-03-03T17:02:00Z,thermostat-03,thermostat,0.5236,6.0068,6099.09,0.4432,1,0.8613,0.1387,0.2986,0.0115,thermostat-03,plc-09
2026-03-03T03:31:00Z,nvr-01,nvr,0.8653,19.1235,37447.77,1.1935,5,0.8234,0.1766,0.2212,0.0154,nvr-01,thermostat-03
2026-03-03T07:07:00Z,access-ctrl-01,access_controller,0.5565,9.1064,10384.56,0.6417,1,0.8733,0.1267,0.2483,0.0090,access-ctrl-01,nvr-01
2026-03-01T11:23:00Z,cam-001,camera,1.0812,53.4649,83923.37,2.0354,8,0.6516,0.3484,0.1042,0.0255,cam-001,access-ctrl-01
2026-03-01T10:28:00Z,cam-001,camera,1.0463,47.1123,88641.55,1.9026,11,0.6297,0.3703,0.0953,0.0285,cam-001,cam-001
2026-03-02T10:49:00Z,router-02,router,0.8727,30.8469,46235.71,1.9825,7,0.7189,0.2811,0.1593,0.0236,router-02,cam-001
2026-03-02T21:42:00Z,nvr-01,nvr,1.0313,22.3372,40920.71,1.2271,3,0.7933,0.2067,0.1754,0.0150,nvr-01,router-02
2026-03-02T02:37:00Z,sensor-007,sensor,0.3821,3.3090,1348.50,0.1400,3,0.9157,0.0843,0.3201,0.0089,sensor-007,nvr-01
2026-03-03T17:45:00Z,thermostat-03,thermostat,0.5515,6.9080,6716.44,0.5257,1,0.8624,0.1376,0.2552,0.0111,thermostat-03,sensor-007
2026-03-03T00:23:00Z,nvr-01,nvr,0.9846,30.2853,66856.10,2.1217,11,0.7163,0.2837,0.1234,0.0112,nvr-01,thermostat-03
2026-03-01T06:17:00Z,cam-001,camera,1.3127,106.1141,174113.43,4.0356,20,0.4313,0.5687,0.0592,0.0297,cam-001,nvr-01
2026-03-01T05:58:00Z,cam-001,camera,1.1431,52.2056,95807.90,2.0594,7,0.6001,0.3999,0.0831,0.0263,cam-001,cam-001
2026-03-03T23:12:00Z,thermostat-03,thermostat,0.4819,9.5452,11153.49,0.8062,4,0.6975,0.3025,0.1707,0.0120,thermostat-03,cam-001
2026-03-03T01:08:00Z,nvr-01,nvr,1.0085,18.6229,36388.51,1.1455,4,0.8348,0.1652,0.2188,0.0142,nvr-01,thermostat-03
2026-03-03T17:12:00Z,thermostat-03,thermostat,0.4791,6.1978,7474.50,0.4883,4,0.8524,0.1476,0.2746,0.0107,thermostat-03,nvr-01
2026-03-04T03:49:00Z,plc-09,plc,0.7208,12.9032,18491.71,1.0611,1,0.9384,0.0616,0.1949,0.0126,plc-09,thermostat-03
2026-03-02T10:43:00Z,router-02,router,0.8405,63.5451,72738.61,3.5076,15,0.4909,0.5091,0.1250,0.0181,router-02,plc-09
2026-03-04T00:07:00Z,thermostat-03,thermostat,0.4587,4.8048,6872.71,0.4430,1,0.8676,0.1324,0.2892,0.0122,thermostat-03,router-02
2026-03-03T10:40:00Z,access-ctrl-01,access_controller,0.5772,16.8827,28700.71,1.1784,7,0.7698,0.2302,0.1402,0.0084,access-ctrl-01,thermostat-03
